"scenario","year","variable","value","units","parameter_value"
"Ref_50",2089,"Tgav",2.02801271126509,"degC","ECS_1.5"
"Ref_50",2090,"Tgav",2.04089914870361,"degC","ECS_1.5"
"Ref_50",2091,"Tgav",2.05364669787579,"degC","ECS_1.5"
"Ref_50",2092,"Tgav",2.06625916758255,"degC","ECS_1.5"
"Ref_50",2093,"Tgav",2.07874390528439,"degC","ECS_1.5"
"Ref_50",2094,"Tgav",2.09110507536192,"degC","ECS_1.5"
"Ref_50",2095,"Tgav",2.10334655430534,"degC","ECS_1.5"
"Ref_50",2096,"Tgav",2.11566166886739,"degC","ECS_1.5"
"Ref_50",2097,"Tgav",2.12804756650118,"degC","ECS_1.5"
"Ref_50",2098,"Tgav",2.14049121970588,"degC","ECS_1.5"
"Ref_50",2099,"Tgav",2.15299175163636,"degC","ECS_1.5"
"Ref_50",2100,"Tgav",2.16554594537101,"degC","ECS_1.5"
"Ref_50",1850,"Tgav",0.102469583932049,"degC","ECS_2"
"Ref_50",1851,"Tgav",0.10585439009444,"degC","ECS_2"
"Ref_50",1852,"Tgav",0.110725406629004,"degC","ECS_2"
"Ref_50",1853,"Tgav",0.116504868576612,"degC","ECS_2"
"Ref_50",1854,"Tgav",0.122277403412344,"degC","ECS_2"
"Ref_50",1855,"Tgav",0.116209837838103,"degC","ECS_2"
"Ref_50",1856,"Tgav",0.0733901580830176,"degC","ECS_2"
"Ref_50",1857,"Tgav",0.0206532259668811,"degC","ECS_2"
"Ref_50",1858,"Tgav",0.0103538406737103,"degC","ECS_2"
"Ref_50",1859,"Tgav",0.0328716889547634,"degC","ECS_2"
"Ref_50",1860,"Tgav",0.059549957946139,"degC","ECS_2"
"Ref_50",1861,"Tgav",0.0767412296513093,"degC","ECS_2"
"Ref_50",1862,"Tgav",0.0812276479960167,"degC","ECS_2"
"Ref_50",1863,"Tgav",0.0853319867155542,"degC","ECS_2"
"Ref_50",1864,"Tgav",0.0960177864926333,"degC","ECS_2"
"Ref_50",1865,"Tgav",0.108490704102096,"degC","ECS_2"
"Ref_50",1866,"Tgav",0.119569394158062,"degC","ECS_2"
"Ref_50",1867,"Tgav",0.128740728860194,"degC","ECS_2"
"Ref_50",1868,"Tgav",0.135989575790566,"degC","ECS_2"
"Ref_50",1869,"Tgav",0.141054806497506,"degC","ECS_2"
"Ref_50",1870,"Tgav",0.14491452510884,"degC","ECS_2"
"Ref_50",1871,"Tgav",0.148457809597153,"degC","ECS_2"
"Ref_50",1872,"Tgav",0.150744818619463,"degC","ECS_2"
"Ref_50",1873,"Tgav",0.15202156003373,"degC","ECS_2"
"Ref_50",1874,"Tgav",0.1544885075535,"degC","ECS_2"
"Ref_50",1875,"Tgav",0.156628759123132,"degC","ECS_2"
"Ref_50",1876,"Tgav",0.155545325496262,"degC","ECS_2"
"Ref_50",1877,"Tgav",0.155175838119822,"degC","ECS_2"
"Ref_50",1878,"Tgav",0.158641445580481,"degC","ECS_2"
"Ref_50",1879,"Tgav",0.164022353242033,"degC","ECS_2"
"Ref_50",1880,"Tgav",0.169947533224439,"degC","ECS_2"
"Ref_50",1881,"Tgav",0.17578703545146,"degC","ECS_2"
"Ref_50",1882,"Tgav",0.171557907049877,"degC","ECS_2"
"Ref_50",1883,"Tgav",0.0917704747093799,"degC","ECS_2"
"Ref_50",1884,"Tgav",-0.0296944331305928,"degC","ECS_2"
"Ref_50",1885,"Tgav",-0.0657192702161227,"degC","ECS_2"
"Ref_50",1886,"Tgav",-0.0446553053957103,"degC","ECS_2"
"Ref_50",1887,"Tgav",-0.0190717368406914,"degC","ECS_2"
"Ref_50",1888,"Tgav",0.00620804211763541,"degC","ECS_2"
"Ref_50",1889,"Tgav",0.0176709086353083,"degC","ECS_2"
"Ref_50",1890,"Tgav",0.0204648176507877,"degC","ECS_2"
"Ref_50",1891,"Tgav",0.028619251987401,"degC","ECS_2"
"Ref_50",1892,"Tgav",0.0502088718685367,"degC","ECS_2"
"Ref_50",1893,"Tgav",0.0793190577612254,"degC","ECS_2"
"Ref_50",1894,"Tgav",0.110194802323071,"degC","ECS_2"
"Ref_50",1895,"Tgav",0.132500771833177,"degC","ECS_2"
"Ref_50",1896,"Tgav",0.13694542472368,"degC","ECS_2"
"Ref_50",1897,"Tgav",0.134103498731108,"degC","ECS_2"
"Ref_50",1898,"Tgav",0.142419500798495,"degC","ECS_2"
"Ref_50",1899,"Tgav",0.160136828417799,"degC","ECS_2"
"Ref_50",1900,"Tgav",0.178764905396027,"degC","ECS_2"
"Ref_50",1901,"Tgav",0.192497861805917,"degC","ECS_2"
"Ref_50",1902,"Tgav",0.16559608182928,"degC","ECS_2"
"Ref_50",1903,"Tgav",0.112844912553792,"degC","ECS_2"
"Ref_50",1904,"Tgav",0.101399483561023,"degC","ECS_2"
"Ref_50",1905,"Tgav",0.127284046441119,"degC","ECS_2"
"Ref_50",1906,"Tgav",0.15562635953368,"degC","ECS_2"
"Ref_50",1907,"Tgav",0.173734441728887,"degC","ECS_2"
"Ref_50",1908,"Tgav",0.188021245877422,"degC","ECS_2"
"Ref_50",1909,"Tgav",0.205142180980417,"degC","ECS_2"
