;SSP126 emissions
 ;https://www.rcmip.org/
 "Date","BC_emissions","C2F6_emissions","CCl4_emissions","CF4_emissions","CFC11_emissions","CFC113_emissions","CFC114_emissions","CFC115_emissions","CFC12_emissions","CH3Br_emissions","CH3CCl3_emissions","CH3Cl_emissions","CH4_emissions","CO_emissions","ffi_emissions","halon1211_emissions","halon1301_emissions","halon2402_emissions","HCFC141b_emissions","HCFC142b_emissions","HCFC22_emissions","HFC125_emissions","HFC134a_emissions","HFC143a_emissions","HFC227ea_emissions","HFC23_emissions","HFC245fa_emissions","HFC32_emissions","HFC4310_emissions","luc_emissions","N2O_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions","NMVOC_emissions"
"1789",2.20766463190753,0,0.024856862,0.010071225,0,0,0,0,0,105.0242,0,4272.405,24.7170728366009,363.441644578768,0.170468318578935,0.0077232726,0,0,0,0,0,0,0,0,2.2486571e-06,0,0,0.00012757871,0,0.165170773279411,0.0568028641506514,4.08821363940529,16.0004086148267,0,1297.8950131926,61.6322923795075
"1790",2.21643699589562,0,0.024856862,0.010071225,0,0,0,0,0,104.99139,0,4270.6805,24.9422085737834,364.880216392627,0.173509111828702,0.0077232726,0,0,0,0,0,0,0,0,2.2839743e-06,0,0,0.00013155567,0,0.168209439784832,0.0578759988174785,4.1155079508631,16.056743908676,0,1301.75140569746,61.8459918081386
"1791",2.1725835564709,0,0.024856862,0.010071225,0,0,0,0,0,105.02128,0,4272.2515,24.7784321673312,356.658386166445,0.177220606770565,0.0077232726,0,0,0,0,0,0,0,0,2.320551e-06,0,0,0.00013567783,0,0.171304009002021,0.0589694074270083,4.02238766557231,15.6164498763779,0,1281.76653936636,60.2187392042358
"1792",2.16165079296011,0,0.024856862,0.010071225,0,0,0,0,0,105.04466,0,4273.4807,24.8188929443199,354.251537610875,0.180550627496799,0.0077232726,0,0,0,0,0,0,0,0,2.3570319e-06,0,0,0.00013978892,0,0.174455509379864,0.060083472999905,4.02662231686248,15.4466691925466,0,1276.94565051553,59.7056857413924
"1793",2.15327383392807,0,0.024856862,0.010071225,0,0,0,0,0,105.02605,0,4272.5025,25.031531409209,353.372309336672,0.183766373474255,0.0077232726,0,0,0,0,0,0,0,0,2.3926083e-06,0,0,0.00014379579,0,0.177664988287746,0.0612185857929599,3.97014137154496,15.477979537881,0,1273.69253785955,59.584939495999
"1794",2.21384311576881,0,0.024856862,0.010071225,0,0,0,0,0,104.98417,0,4270.301,25.7675377775895,365.721914030605,0.187022242421775,0.0077232726,0,0,0,0,0,0,0,0,2.4276195e-06,0,0,0.00014773748,0,0.180933512363628,0.0623751434357983,4.0786942057824,16.1652599737554,0,1320.29902498078,62.0382245319856
"1795",2.20269227276149,0,0.024856862,0.010071225,0,0,0,0,0,105.01093,0,4271.7076,25.7733428148813,362.192122689267,0.190354408943803,0.0077232726,0,0,0,0,0,0,0,0,2.4642054e-06,0,0,0.00015186068,0,0.184262167868543,0.0635535510701693,4.09659182224096,15.8831319462834,0,1304.06330053231,61.2427321418956
"1796",2.15315461557732,0,0.024856862,0.010071225,0,0,0,0,0,104.99978,0,4271.1214,25.7405840652996,354.478302935614,0.194044574118658,0.0077232726,0,0,0,0,0,0,0,0,2.4998985e-06,0,0,0.000155881,0,0.187652061047593,0.0647542214918663,3.91941867268545,15.628369801306,0,1283.40872584118,59.8642424284631
"1797",2.21347503619966,0,0.024856862,0.010071225,0,0,0,0,0,105.01623,0,4271.986,26.2300622583658,363.54823719908,0.197812880888314,0.0077232726,0,0,0,0,0,0,0,0,2.5362748e-06,0,0,0.00015998003,0,0.191104318497608,0.0659775752953297,4.11944961905778,15.93865304822,0,1319.08951431749,61.4713769474247
"1798",2.2340562829342,0,0.024856862,0.010070485,0,0,0,0,0,105.0081,0,4271.559,26.5464401224328,367.650102798519,0.201606503339084,0.0077232726,0,0,0,0,0,0,0,0,2.5720343e-06,0,0,0.00016400799,0,0.194620087541551,0.0672240410209809,4.19756001751838,16.1266727411613,0,1341.35247863397,62.1976390263918
